Address,Status,Price,Sq_Ft,Bed,Bath,Date,Source
426 Bucknell Rd,Estimate,1525400,1360,3,2,5/1/2026,Zillow
250 Bucknell Rd,Active,1899000,1903,3,2,4/16/2026,CRMLS
305 Nassau Rd,Sold,1540000,1480,3,2,2/4/2026,Redfin
1616 Sandalwood St,Sold,1510000,1451,3,2,3/23/2026,Redfin
332 Bucknell Rd,Estimate,1590764,2019,3,2,3/15/2026,Redfin
420 Bucknell Rd,Estimate,1513100,1360,3,2,3/31/2026,Realtor.com
388 Bucknell Rd,Estimate,1615909,1632,3,2,3/31/2026,Realtor.com
288 Bucknell Rd,Estimate,1700000,1614,3,2,4/24/2026,Homes.com
272 Bucknell Rd,Estimate,1448225,1806,3,2,4/15/2026,Realtor.com
244 Bucknell Rd,Estimate,1411600,1600,3,2,4/20/2026,Zillow
268 Bucknell Rd,Estimate,1642713,1800,3,2,3/15/2026,Realtor.com
